TWAP Cost,USD Cost
1127547.138489967,1000000
840272.9046878547,1000000
970889.3077826573,1000000
1098177.475663716,1000000
980066.2981909841,1000000
1091078.7364470228,1000000
973064.2714909776,1000000
1018307.4455437663,1000000
1212116.00490676,1000000
1010563.6031563643,1000000
1120186.6640498235,1000000
975467.9859767271,1000000
1147402.2939637385,1000000
942697.9540147514,1000000
965096.2335238951,1000000
1123706.5620778005,1000000
965584.7532772428,1000000
1035442.0754769656,1000000
940282.233363306,1000000
1068249.7723239888,1000000
978171.2132375435,1000000
934866.9900363351,1000000
884604.582553412,1000000
989370.5041715265,1000000
829417.22258405,1000000
1008311.1656879534,1000000
959646.3142464492,1000000
956191.9264772462,1000000
1033197.9105405926,1000000
1006826.6494993594,1000000
1152076.3400099534,1000000
939507.158380976,1000000
956339.0492485845,1000000
1034147.1908751549,1000000
953933.8760729862,1000000
1020010.6710087761,1000000
966609.6223021189,1000000
979117.1295823329,1000000
877557.0365548856,1000000
894122.554374154,1000000
976778.3055322284,1000000
1006948.4886161904,1000000
920567.2181545064,1000000
995326.1752839615,1000000
897225.3969286871,1000000
810806.0664406205,1000000
910481.1926209537,1000000
841348.7556632727,1000000
822038.8088104019,1000000
901316.9070116645,1000000
1051731.9202500775,1000000
1009487.6648351446,1000000
1039679.74652059,1000000
944715.6057392006,1000000
1032961.3657744006,1000000
1145854.1573129487,1000000
940386.71754149,1000000
1022487.3675245875,1000000
854325.0277067397,1000000
908792.4565329046,1000000
1138684.9906190755,1000000
813559.7901647857,1000000
1050428.9415744573,1000000
1188177.0200030662,1000000
922959.1611333325,1000000
814806.6304285928,1000000
904143.0168634629,1000000
1054456.8707672036,1000000
920353.206864824,1000000
1051392.391306223,1000000
986145.3783608791,1000000
1008609.9555498807,1000000
1041225.3396711658,1000000
1085766.6918688924,1000000
1078089.2670527985,1000000
947354.990734426,1000000
1049736.7854605594,1000000
906948.6886243596,1000000
1034020.0976716887,1000000
1182648.1093872848,1000000
949457.4756403598,1000000
1133744.5639277278,1000000
1151582.0506996452,1000000
1073048.2988582912,1000000
952635.1755248805,1000000
987718.6270766613,1000000
1032333.2976660634,1000000
968428.4797136942,1000000
1035762.9065983727,1000000
812179.1961114791,1000000
888180.2702982028,1000000
800654.026116457,1000000
